location,date,vaccine,total_vaccinations
Argentina,2020-12-29,Oxford/AstraZeneca,1
Argentina,2020-12-29,Sinopharm/Beijing,1
Argentina,2020-12-29,Sputnik V,20491
Argentina,2020-12-30,Sputnik V,40592
Argentina,2020-12-31,Sputnik V,43398
Argentina,2021-01-01,Oxford/AstraZeneca,3
Argentina,2021-01-01,Sputnik V,43525
Argentina,2021-01-02,Oxford/AstraZeneca,4
Argentina,2021-01-02,Pfizer/BioNTech,1
Argentina,2021-01-02,Sputnik V,46835
Argentina,2021-01-03,Pfizer/BioNTech,3
Argentina,2021-01-03,Sputnik V,47279
Argentina,2021-01-04,Sputnik V,57740
Argentina,2021-01-05,Sinopharm/Beijing,5
Argentina,2021-01-05,Sputnik V,68467
Argentina,2021-01-06,Oxford/AstraZeneca,5
Argentina,2021-01-06,Pfizer/BioNTech,6
Argentina,2021-01-06,Sinopharm/Beijing,8
Argentina,2021-01-06,Sputnik V,78580
Argentina,2021-01-07,Oxford/AstraZeneca,9
Argentina,2021-01-07,Pfizer/BioNTech,8
Argentina,2021-01-07,Sinopharm/Beijing,10
Argentina,2021-01-07,Sputnik V,96805
Argentina,2021-01-08,Oxford/AstraZeneca,10
Argentina,2021-01-08,Sputnik V,124698
Argentina,2021-01-09,Oxford/AstraZeneca,11
Argentina,2021-01-09,Pfizer/BioNTech,9
Argentina,2021-01-09,Sinopharm/Beijing,11
Argentina,2021-01-09,Sputnik V,134905
Argentina,2021-01-10,Pfizer/BioNTech,12
Argentina,2021-01-10,Sinopharm/Beijing,12
Argentina,2021-01-10,Sputnik V,136080
Argentina,2021-01-11,Oxford/AstraZeneca,12
Argentina,2021-01-11,Sinopharm/Beijing,14
Argentina,2021-01-11,Sputnik V,155907
Argentina,2021-01-12,Oxford/AstraZeneca,14
Argentina,2021-01-12,Pfizer/BioNTech,13
Argentina,2021-01-12,Sinopharm/Beijing,17
Argentina,2021-01-12,Sputnik V,175296
Argentina,2021-01-13,Moderna,1
Argentina,2021-01-13,Oxford/AstraZeneca,15
Argentina,2021-01-13,Sinopharm/Beijing,21
Argentina,2021-01-13,Sputnik V,192067
Argentina,2021-01-14,Pfizer/BioNTech,14
Argentina,2021-01-14,Sinopharm/Beijing,22
Argentina,2021-01-14,Sputnik V,208716
Argentina,2021-01-15,Sputnik V,226163
Argentina,2021-01-16,Sputnik V,232048
Argentina,2021-01-17,Pfizer/BioNTech,15
Argentina,2021-01-17,Sputnik V,233110
Argentina,2021-01-18,Pfizer/BioNTech,16
Argentina,2021-01-18,Sputnik V,242941
Argentina,2021-01-19,CanSino,1
Argentina,2021-01-19,Sinopharm/Beijing,24
Argentina,2021-01-19,Sputnik V,256195
Argentina,2021-01-20,Sputnik V,275628
Argentina,2021-01-21,Oxford/AstraZeneca,20
Argentina,2021-01-21,Sinopharm/Beijing,26
Argentina,2021-01-21,Sputnik V,289740
Argentina,2021-01-22,Oxford/AstraZeneca,23
Argentina,2021-01-22,Sinopharm/Beijing,27
Argentina,2021-01-22,Sputnik V,298958
Argentina,2021-01-23,Oxford/AstraZeneca,28
Argentina,2021-01-23,Sputnik V,302902
Argentina,2021-01-24,Oxford/AstraZeneca,29
Argentina,2021-01-24,Sputnik V,303205
Argentina,2021-01-25,Oxford/AstraZeneca,37
Argentina,2021-01-25,Sputnik V,317415
Argentina,2021-01-26,Oxford/AstraZeneca,75
Argentina,2021-01-26,Sinopharm/Beijing,28
Argentina,2021-01-26,Sputnik V,330190
Argentina,2021-01-27,Oxford/AstraZeneca,77
Argentina,2021-01-27,Sputnik V,340303
Argentina,2021-01-28,Oxford/AstraZeneca,78
Argentina,2021-01-28,Sputnik V,356352
Argentina,2021-01-29,Oxford/AstraZeneca,79
Argentina,2021-01-29,Sputnik V,379856
Argentina,2021-01-30,Sputnik V,389171
Argentina,2021-01-31,CanSino,2
Argentina,2021-01-31,Sinopharm/Beijing,29
Argentina,2021-01-31,Sputnik V,389794
Argentina,2021-02-01,Oxford/AstraZeneca,98
Argentina,2021-02-01,Sinopharm/Beijing,30
Argentina,2021-02-01,Sputnik V,409310
Argentina,2021-02-02,Oxford/AstraZeneca,131
Argentina,2021-02-02,Sputnik V,433160
Argentina,2021-02-03,Oxford/AstraZeneca,139
Argentina,2021-02-03,Sinopharm/Beijing,33
Argentina,2021-02-03,Sputnik V,459773
Argentina,2021-02-04,Moderna,2
Argentina,2021-02-04,Oxford/AstraZeneca,144
Argentina,2021-02-04,Sinopharm/Beijing,56
Argentina,2021-02-04,Sputnik V,487886
Argentina,2021-02-05,CanSino,4
Argentina,2021-02-05,Oxford/AstraZeneca,149
Argentina,2021-02-05,Sinopharm/Beijing,63
Argentina,2021-02-05,Sputnik V,520919
Argentina,2021-02-06,Sinopharm/Beijing,68
Argentina,2021-02-06,Sputnik V,531845
Argentina,2021-02-07,Oxford/AstraZeneca,150
Argentina,2021-02-07,Sinopharm/Beijing,72
Argentina,2021-02-07,Sputnik V,533225
Argentina,2021-02-08,Oxford/AstraZeneca,152
Argentina,2021-02-08,Sinopharm/Beijing,73
Argentina,2021-02-08,Sputnik V,556656
Argentina,2021-02-09,Moderna,3
Argentina,2021-02-09,Oxford/AstraZeneca,154
Argentina,2021-02-09,Sinopharm/Beijing,79
Argentina,2021-02-09,Sputnik V,576850
Argentina,2021-02-10,Oxford/AstraZeneca,157
Argentina,2021-02-10,Sinopharm/Beijing,84
Argentina,2021-02-10,Sputnik V,592470
Argentina,2021-02-11,Oxford/AstraZeneca,160
Argentina,2021-02-11,Sinopharm/Beijing,90
Argentina,2021-02-11,Sputnik V,610322
Argentina,2021-02-12,Oxford/AstraZeneca,161
Argentina,2021-02-12,Sinopharm/Beijing,91
Argentina,2021-02-12,Sputnik V,626164
Argentina,2021-02-13,Oxford/AstraZeneca,163
Argentina,2021-02-13,Sinopharm/Beijing,93
Argentina,2021-02-13,Sputnik V,629196
Argentina,2021-02-14,Sinopharm/Beijing,95
Argentina,2021-02-14,Sputnik V,629346
Argentina,2021-02-15,Pfizer/BioNTech,17
Argentina,2021-02-15,Sinopharm/Beijing,97
Argentina,2021-02-15,Sputnik V,630661
Argentina,2021-02-16,Oxford/AstraZeneca,175
Argentina,2021-02-16,Pfizer/BioNTech,18
Argentina,2021-02-16,Sinopharm/Beijing,99
Argentina,2021-02-16,Sputnik V,631959
Argentina,2021-02-17,Oxford/AstraZeneca,186
Argentina,2021-02-17,Sinopharm/Beijing,102
Argentina,2021-02-17,Sputnik V,656361
Argentina,2021-02-18,Oxford/AstraZeneca,217
Argentina,2021-02-18,Pfizer/BioNTech,19
Argentina,2021-02-18,Sinopharm/Beijing,106
Argentina,2021-02-18,Sputnik V,720172
Argentina,2021-02-19,Oxford/AstraZeneca,407
Argentina,2021-02-19,Sinopharm/Beijing,107
Argentina,2021-02-19,Sputnik V,787890
Argentina,2021-02-20,Oxford/AstraZeneca,555
Argentina,2021-02-20,Sinopharm/Beijing,108
Argentina,2021-02-20,Sputnik V,820365
Argentina,2021-02-21,Oxford/AstraZeneca,956
Argentina,2021-02-21,Sputnik V,840146
Argentina,2021-02-22,Oxford/AstraZeneca,23564
Argentina,2021-02-22,Sputnik V,885133
Argentina,2021-02-23,Oxford/AstraZeneca,73774
Argentina,2021-02-23,Sinopharm/Beijing,110
Argentina,2021-02-23,Sputnik V,921899
Argentina,2021-02-24,Oxford/AstraZeneca,135871
Argentina,2021-02-24,Sinopharm/Beijing,113
Argentina,2021-02-24,Sputnik V,953661
Argentina,2021-02-25,Oxford/AstraZeneca,189044
Argentina,2021-02-25,Sinopharm/Beijing,117
Argentina,2021-02-25,Sputnik V,979979
Argentina,2021-02-26,Oxford/AstraZeneca,245115
Argentina,2021-02-26,Sinopharm/Beijing,126
Argentina,2021-02-26,Sputnik V,1005620
Argentina,2021-02-27,Moderna,4
Argentina,2021-02-27,Oxford/AstraZeneca,258464
Argentina,2021-02-27,Sinopharm/Beijing,127
Argentina,2021-02-27,Sputnik V,1010178
Argentina,2021-02-28,Oxford/AstraZeneca,263816
Argentina,2021-02-28,Sinopharm/Beijing,128
Argentina,2021-02-28,Sputnik V,1010955
Argentina,2021-03-01,Oxford/AstraZeneca,317153
Argentina,2021-03-01,Sinopharm/Beijing,830
Argentina,2021-03-01,Sputnik V,1031503
Argentina,2021-03-02,Oxford/AstraZeneca,368800
Argentina,2021-03-02,Sinopharm/Beijing,5795
Argentina,2021-03-02,Sputnik V,1050534
Argentina,2021-03-03,Oxford/AstraZeneca,404798
Argentina,2021-03-03,Sinopharm/Beijing,23631
Argentina,2021-03-03,Sputnik V,1068227
Argentina,2021-03-04,Oxford/AstraZeneca,430525
Argentina,2021-03-04,Sinopharm/Beijing,87940
Argentina,2021-03-04,Sputnik V,1090292
Argentina,2021-03-05,Oxford/AstraZeneca,454824
Argentina,2021-03-05,Sinopharm/Beijing,154459
Argentina,2021-03-05,Sputnik V,1111238
Argentina,2021-03-06,Oxford/AstraZeneca,462742
Argentina,2021-03-06,Sinopharm/Beijing,196887
Argentina,2021-03-06,Sputnik V,1115841
Argentina,2021-03-07,Oxford/AstraZeneca,467718
Argentina,2021-03-07,Sinopharm/Beijing,203332
Argentina,2021-03-07,Sputnik V,1116218
Argentina,2021-03-08,Oxford/AstraZeneca,499300
Argentina,2021-03-08,Pfizer/BioNTech,20
Argentina,2021-03-08,Sinopharm/Beijing,256284
Argentina,2021-03-08,Sputnik V,1134203
Argentina,2021-03-09,Oxford/AstraZeneca,515646
Argentina,2021-03-09,Sinopharm/Beijing,319402
Argentina,2021-03-09,Sputnik V,1170566
Argentina,2021-03-10,Oxford/AstraZeneca,527735
Argentina,2021-03-10,Sinopharm/Beijing,418153
Argentina,2021-03-10,Sputnik V,1223744
Argentina,2021-03-11,Oxford/AstraZeneca,537680
Argentina,2021-03-11,Sinopharm/Beijing,503049
Argentina,2021-03-11,Sputnik V,1315817
Argentina,2021-03-12,Oxford/AstraZeneca,545204
Argentina,2021-03-12,Sinopharm/Beijing,564200
Argentina,2021-03-12,Sputnik V,1408838
Argentina,2021-03-13,Oxford/AstraZeneca,548183
Argentina,2021-03-13,Sinopharm/Beijing,574706
Argentina,2021-03-13,Sputnik V,1441751
Argentina,2021-03-14,Oxford/AstraZeneca,548232
Argentina,2021-03-14,Sinopharm/Beijing,581364
Argentina,2021-03-14,Sputnik V,1444218
Argentina,2021-03-15,Oxford/AstraZeneca,554656
Argentina,2021-03-15,Sinopharm/Beijing,621988
Argentina,2021-03-15,Sputnik V,1534820
Argentina,2021-03-16,Oxford/AstraZeneca,557783
Argentina,2021-03-16,Sinopharm/Beijing,656667
Argentina,2021-03-16,Sputnik V,1630780
Argentina,2021-03-17,Oxford/AstraZeneca,560496
Argentina,2021-03-17,Sinopharm/Beijing,679648
Argentina,2021-03-17,Sputnik V,1744709
Argentina,2021-03-18,Moderna,6
Argentina,2021-03-18,Oxford/AstraZeneca,562183
Argentina,2021-03-18,Sinopharm/Beijing,701801
Argentina,2021-03-18,Sputnik V,1859852
Argentina,2021-03-19,Oxford/AstraZeneca,564032
Argentina,2021-03-19,Pfizer/BioNTech,21
Argentina,2021-03-19,Sinopharm/Beijing,725408
Argentina,2021-03-19,Sputnik V,1960615
Argentina,2021-03-20,Oxford/AstraZeneca,564374
Argentina,2021-03-20,Sinopharm/Beijing,729348
Argentina,2021-03-20,Sputnik V,2007222
Argentina,2021-03-21,CanSino,5
Argentina,2021-03-21,Oxford/AstraZeneca,564397
Argentina,2021-03-21,Sinopharm/Beijing,729697
Argentina,2021-03-21,Sputnik V,2026483
Argentina,2021-03-22,Oxford/AstraZeneca,565869
Argentina,2021-03-22,Sinopharm/Beijing,747099
Argentina,2021-03-22,Sputnik V,2090694
Argentina,2021-03-23,Oxford/AstraZeneca,570559
Argentina,2021-03-23,Sinopharm/Beijing,760659
Argentina,2021-03-23,Sputnik V,2178949
Argentina,2021-03-24,Oxford/AstraZeneca,571837
Argentina,2021-03-24,Sinopharm/Beijing,763801
Argentina,2021-03-24,Sputnik V,2211998
Argentina,2021-03-25,Oxford/AstraZeneca,573192
Argentina,2021-03-25,Sinopharm/Beijing,774706
Argentina,2021-03-25,Sputnik V,2302952
Argentina,2021-03-26,Oxford/AstraZeneca,575848
Argentina,2021-03-26,Sinopharm/Beijing,783883
Argentina,2021-03-26,Sputnik V,2384708
Argentina,2021-03-27,Moderna,7
Argentina,2021-03-27,Oxford/AstraZeneca,576742
Argentina,2021-03-27,Sinopharm/Beijing,786191
Argentina,2021-03-27,Sputnik V,2436613
Argentina,2021-03-28,Oxford/AstraZeneca,577649
Argentina,2021-03-28,Pfizer/BioNTech,23
Argentina,2021-03-28,Sinopharm/Beijing,786666
Argentina,2021-03-28,Sputnik V,2456064
Argentina,2021-03-29,Oxford/AstraZeneca,581241
Argentina,2021-03-29,Pfizer/BioNTech,24
Argentina,2021-03-29,Sinopharm/Beijing,798173
Argentina,2021-03-29,Sputnik V,2561185
Argentina,2021-03-30,Oxford/AstraZeneca,584124
Argentina,2021-03-30,Pfizer/BioNTech,25
Argentina,2021-03-30,Sinopharm/Beijing,808673
Argentina,2021-03-30,Sputnik V,2710870
Argentina,2021-03-31,Oxford/AstraZeneca,604072
Argentina,2021-03-31,Sinopharm/Beijing,820689
Argentina,2021-03-31,Sputnik V,2853902
Argentina,2021-04-01,Oxford/AstraZeneca,629647
Argentina,2021-04-01,Sinopharm/Beijing,824452
Argentina,2021-04-01,Sputnik V,2941729
Argentina,2021-04-02,Oxford/AstraZeneca,642471
Argentina,2021-04-02,Sinopharm/Beijing,826774
Argentina,2021-04-02,Sputnik V,2994751
Argentina,2021-04-03,Oxford/AstraZeneca,661114
Argentina,2021-04-03,Sinopharm/Beijing,827865
Argentina,2021-04-03,Sputnik V,3049499
Argentina,2021-04-04,Moderna,8
Argentina,2021-04-04,Oxford/AstraZeneca,675511
Argentina,2021-04-04,Sinopharm/Beijing,829529
Argentina,2021-04-04,Sputnik V,3081935
Argentina,2021-04-05,Oxford/AstraZeneca,709348
Argentina,2021-04-05,Sinopharm/Beijing,858662
Argentina,2021-04-05,Sputnik V,3184994
Argentina,2021-04-06,Oxford/AstraZeneca,735813
Argentina,2021-04-06,Sinopharm/Beijing,933818
Argentina,2021-04-06,Sputnik V,3277416
Argentina,2021-04-07,Oxford/AstraZeneca,766053
Argentina,2021-04-07,Sinopharm/Beijing,1052138
Argentina,2021-04-07,Sputnik V,3367325
Argentina,2021-04-08,Oxford/AstraZeneca,790150
Argentina,2021-04-08,Pfizer/BioNTech,28
Argentina,2021-04-08,Sinopharm/Beijing,1182450
Argentina,2021-04-08,Sputnik V,3448922
Argentina,2021-04-09,Oxford/AstraZeneca,808506
Argentina,2021-04-09,Sinopharm/Beijing,1330042
Argentina,2021-04-09,Sputnik V,3523412
Argentina,2021-04-10,Oxford/AstraZeneca,813324
Argentina,2021-04-10,Sinopharm/Beijing,1384036
Argentina,2021-04-10,Sputnik V,3557558
Argentina,2021-04-11,Oxford/AstraZeneca,814190
Argentina,2021-04-11,Sinopharm/Beijing,1416893
Argentina,2021-04-11,Sputnik V,3572153
Argentina,2021-04-12,Oxford/AstraZeneca,824106
Argentina,2021-04-12,Sinopharm/Beijing,1512256
Argentina,2021-04-12,Sputnik V,3648720
Argentina,2021-04-13,Moderna,9
Argentina,2021-04-13,Oxford/AstraZeneca,832452
Argentina,2021-04-13,Sinopharm/Beijing,1594750
Argentina,2021-04-13,Sputnik V,3743986
Argentina,2021-04-14,Oxford/AstraZeneca,838896
Argentina,2021-04-14,Pfizer/BioNTech,29
Argentina,2021-04-14,Sinopharm/Beijing,1662136
Argentina,2021-04-14,Sputnik V,3841877
Argentina,2021-04-15,Oxford/AstraZeneca,843096
Argentina,2021-04-15,Sinopharm/Beijing,1713323
Argentina,2021-04-15,Sputnik V,3937627
Argentina,2021-04-16,Oxford/AstraZeneca,846381
Argentina,2021-04-16,Sinopharm/Beijing,1759438
Argentina,2021-04-16,Sputnik V,4011976
Argentina,2021-04-17,Oxford/AstraZeneca,847274
Argentina,2021-04-17,Sinopharm/Beijing,1775556
Argentina,2021-04-17,Sputnik V,4040690
Argentina,2021-04-18,Oxford/AstraZeneca,848549
Argentina,2021-04-18,Sinopharm/Beijing,1777819
Argentina,2021-04-18,Sputnik V,4057059
Argentina,2021-04-19,Oxford/AstraZeneca,863948
Argentina,2021-04-19,Pfizer/BioNTech,30
Argentina,2021-04-19,Sinopharm/Beijing,1802786
Argentina,2021-04-19,Sputnik V,4107202
Argentina,2021-04-20,Oxford/AstraZeneca,916488
Argentina,2021-04-20,Sinopharm/Beijing,1826829
Argentina,2021-04-20,Sputnik V,4153377
Argentina,2021-04-21,CanSino,6
Argentina,2021-04-21,Moderna,10
Argentina,2021-04-21,Oxford/AstraZeneca,1036778
Argentina,2021-04-21,Sinopharm/Beijing,1848049
Argentina,2021-04-21,Sputnik V,4185867
Argentina,2021-04-22,CanSino,7
Argentina,2021-04-22,Oxford/AstraZeneca,1154107
Argentina,2021-04-22,Sinopharm/Beijing,1863616
Argentina,2021-04-22,Sputnik V,4231209
Argentina,2021-04-23,Oxford/AstraZeneca,1272446
Argentina,2021-04-23,Sinopharm/Beijing,1877718
Argentina,2021-04-23,Sputnik V,4293368
Argentina,2021-04-24,Oxford/AstraZeneca,1326310
Argentina,2021-04-24,Sinopharm/Beijing,1879290
Argentina,2021-04-24,Sputnik V,4330172
Argentina,2021-04-25,Oxford/AstraZeneca,1358770
Argentina,2021-04-25,Sinopharm/Beijing,1879665
Argentina,2021-04-25,Sputnik V,4346660
Argentina,2021-04-26,Oxford/AstraZeneca,1431886
Argentina,2021-04-26,Pfizer/BioNTech,31
Argentina,2021-04-26,Sinopharm/Beijing,1887234
Argentina,2021-04-26,Sputnik V,4438134
Argentina,2021-04-27,Oxford/AstraZeneca,1491016
Argentina,2021-04-27,Pfizer/BioNTech,32
Argentina,2021-04-27,Sinopharm/Beijing,1894594
Argentina,2021-04-27,Sputnik V,4525423
Argentina,2021-04-28,Oxford/AstraZeneca,1543174
Argentina,2021-04-28,Pfizer/BioNTech,33
Argentina,2021-04-28,Sinopharm/Beijing,1922558
Argentina,2021-04-28,Sputnik V,4604354
Argentina,2021-04-29,Oxford/AstraZeneca,1581938
Argentina,2021-04-29,Sinopharm/Beijing,1962689
Argentina,2021-04-29,Sputnik V,4681802
Argentina,2021-04-30,Oxford/AstraZeneca,1612494
Argentina,2021-04-30,Sinopharm/Beijing,1998860
Argentina,2021-04-30,Sputnik V,4730063
Argentina,2021-05-01,Oxford/AstraZeneca,1617758
Argentina,2021-05-01,Sinopharm/Beijing,2002573
Argentina,2021-05-01,Sputnik V,4741399
Argentina,2021-05-02,Oxford/AstraZeneca,1624351
Argentina,2021-05-02,Sinopharm/Beijing,2016705
Argentina,2021-05-02,Sputnik V,4760854
Argentina,2021-05-03,Oxford/AstraZeneca,1647974
Argentina,2021-05-03,Pfizer/BioNTech,34
Argentina,2021-05-03,Sinopharm/Beijing,2090683
Argentina,2021-05-03,Sputnik V,4838012
Argentina,2021-05-04,Oxford/AstraZeneca,1671587
Argentina,2021-05-04,Sinopharm/Beijing,2184793
Argentina,2021-05-04,Sputnik V,4952385
Argentina,2021-05-05,Oxford/AstraZeneca,1696513
Argentina,2021-05-05,Sinopharm/Beijing,2263394
Argentina,2021-05-05,Sputnik V,5093927
Argentina,2021-05-06,Oxford/AstraZeneca,1714353
Argentina,2021-05-06,Pfizer/BioNTech,35
Argentina,2021-05-06,Sinopharm/Beijing,2328038
Argentina,2021-05-06,Sputnik V,5214335
Argentina,2021-05-07,CanSino,8
Argentina,2021-05-07,Oxford/AstraZeneca,1728316
Argentina,2021-05-07,Sinopharm/Beijing,2424164
Argentina,2021-05-07,Sputnik V,5309667
Argentina,2021-05-08,Oxford/AstraZeneca,1732375
Argentina,2021-05-08,Sinopharm/Beijing,2465786
Argentina,2021-05-08,Sputnik V,5338277
Argentina,2021-05-09,Oxford/AstraZeneca,1734115
Argentina,2021-05-09,Sinopharm/Beijing,2469285
Argentina,2021-05-09,Sputnik V,5351736
Argentina,2021-05-10,Oxford/AstraZeneca,1744042
Argentina,2021-05-10,Sinopharm/Beijing,2533464
Argentina,2021-05-10,Sputnik V,5419352
Argentina,2021-05-11,Moderna,11
Argentina,2021-05-11,Oxford/AstraZeneca,1752320
Argentina,2021-05-11,Pfizer/BioNTech,36
Argentina,2021-05-11,Sinopharm/Beijing,2598318
Argentina,2021-05-11,Sputnik V,5486724
Argentina,2021-05-12,Moderna,12
Argentina,2021-05-12,Oxford/AstraZeneca,1758104
Argentina,2021-05-12,Sinopharm/Beijing,2737697
Argentina,2021-05-12,Sputnik V,5539226
Argentina,2021-05-13,Oxford/AstraZeneca,1763806
Argentina,2021-05-13,Sinopharm/Beijing,2886428
Argentina,2021-05-13,Sputnik V,5576988
Argentina,2021-05-14,Oxford/AstraZeneca,1773018
Argentina,2021-05-14,Sinopharm/Beijing,3034795
Argentina,2021-05-14,Sputnik V,5615979
Argentina,2021-05-15,Oxford/AstraZeneca,1776101
Argentina,2021-05-15,Sinopharm/Beijing,3085246
Argentina,2021-05-15,Sputnik V,5657557
Argentina,2021-05-16,Oxford/AstraZeneca,1777576
Argentina,2021-05-16,Sinopharm/Beijing,3128556
Argentina,2021-05-16,Sputnik V,5680380
Argentina,2021-05-17,Oxford/AstraZeneca,1784884
Argentina,2021-05-17,Pfizer/BioNTech,37
Argentina,2021-05-17,Sinopharm/Beijing,3224311
Argentina,2021-05-17,Sputnik V,5764306
Argentina,2021-05-18,Oxford/AstraZeneca,1794679
Argentina,2021-05-18,Sinopharm/Beijing,3269259
Argentina,2021-05-18,Sputnik V,5907857
Argentina,2021-05-19,Oxford/AstraZeneca,1802036
Argentina,2021-05-19,Pfizer/BioNTech,38
Argentina,2021-05-19,Sinopharm/Beijing,3302617
Argentina,2021-05-19,Sputnik V,6034928
Argentina,2021-05-20,Oxford/AstraZeneca,1812547
Argentina,2021-05-20,Sinopharm/Beijing,3337903
Argentina,2021-05-20,Sputnik V,6171790
Argentina,2021-05-21,Oxford/AstraZeneca,1821755
Argentina,2021-05-21,Sinopharm/Beijing,3416128
Argentina,2021-05-21,Sputnik V,6261672
Argentina,2021-05-22,Oxford/AstraZeneca,1823281
Argentina,2021-05-22,Sinopharm/Beijing,3460127
Argentina,2021-05-22,Sputnik V,6316613
Argentina,2021-05-23,Oxford/AstraZeneca,1823699
Argentina,2021-05-23,Sinopharm/Beijing,3483007
Argentina,2021-05-23,Sputnik V,6338593
Argentina,2021-05-24,Oxford/AstraZeneca,1824882
Argentina,2021-05-24,Pfizer/BioNTech,39
Argentina,2021-05-24,Sinopharm/Beijing,3502499
Argentina,2021-05-24,Sputnik V,6406306
Argentina,2021-05-25,Oxford/AstraZeneca,1846965
Argentina,2021-05-25,Sinopharm/Beijing,3505681
Argentina,2021-05-25,Sputnik V,6444477
Argentina,2021-05-26,Oxford/AstraZeneca,1873844
Argentina,2021-05-26,Sinopharm/Beijing,3539269
Argentina,2021-05-26,Sputnik V,6537168
Argentina,2021-05-27,Oxford/AstraZeneca,1919322
Argentina,2021-05-27,Sinopharm/Beijing,3572528
Argentina,2021-05-27,Sputnik V,6627903
Argentina,2021-05-28,Oxford/AstraZeneca,2011707
Argentina,2021-05-28,Sinopharm/Beijing,3601443
Argentina,2021-05-28,Sputnik V,6752770
Argentina,2021-05-29,Oxford/AstraZeneca,2121652
Argentina,2021-05-29,Pfizer/BioNTech,40
Argentina,2021-05-29,Sinopharm/Beijing,3611350
Argentina,2021-05-29,Sputnik V,6860451
Argentina,2021-05-30,Oxford/AstraZeneca,2180806
Argentina,2021-05-30,Sinopharm/Beijing,3612973
Argentina,2021-05-30,Sputnik V,6928565
Argentina,2021-05-31,Oxford/AstraZeneca,2308034
Argentina,2021-05-31,Sinopharm/Beijing,3629879
Argentina,2021-05-31,Sputnik V,7083535
Argentina,2021-06-01,Oxford/AstraZeneca,2457133
Argentina,2021-06-01,Sinopharm/Beijing,3643439
Argentina,2021-06-01,Sputnik V,7235865
Argentina,2021-06-02,CanSino,9
Argentina,2021-06-02,Oxford/AstraZeneca,2620717
Argentina,2021-06-02,Sinopharm/Beijing,3656587
Argentina,2021-06-02,Sputnik V,7368576
Argentina,2021-06-03,Oxford/AstraZeneca,2843668
Argentina,2021-06-03,Sinopharm/Beijing,3668810
Argentina,2021-06-03,Sputnik V,7483141
Argentina,2021-06-04,Oxford/AstraZeneca,3148804
Argentina,2021-06-04,Sinopharm/Beijing,3684674
Argentina,2021-06-04,Sputnik V,7570430
Argentina,2021-06-05,Oxford/AstraZeneca,3426584
Argentina,2021-06-05,Sinopharm/Beijing,3689355
Argentina,2021-06-05,Sputnik V,7614844
Argentina,2021-06-06,Oxford/AstraZeneca,3614507
Argentina,2021-06-06,Sinopharm/Beijing,3691390
Argentina,2021-06-06,Sputnik V,7642288
Argentina,2021-06-07,Oxford/AstraZeneca,3894030
Argentina,2021-06-07,Sinopharm/Beijing,3700760
Argentina,2021-06-07,Sputnik V,7706686
Argentina,2021-06-08,Oxford/AstraZeneca,4171525
Argentina,2021-06-08,Sinopharm/Beijing,3708878
Argentina,2021-06-08,Sputnik V,7791068
Argentina,2021-06-09,CanSino,11
Argentina,2021-06-09,Moderna,13
Argentina,2021-06-09,Oxford/AstraZeneca,4430605
Argentina,2021-06-09,Pfizer/BioNTech,41
Argentina,2021-06-09,Sinopharm/Beijing,3715676
Argentina,2021-06-09,Sputnik V,7897616
Argentina,2021-06-10,Moderna,14
Argentina,2021-06-10,Oxford/AstraZeneca,4654548
Argentina,2021-06-10,Pfizer/BioNTech,42
Argentina,2021-06-10,Sinopharm/Beijing,3721732
Argentina,2021-06-10,Sputnik V,8002761
Argentina,2021-06-11,Oxford/AstraZeneca,4838771
Argentina,2021-06-11,Sinopharm/Beijing,3732472
Argentina,2021-06-11,Sputnik V,8174670
Argentina,2021-06-12,Oxford/AstraZeneca,4904798
Argentina,2021-06-12,Sinopharm/Beijing,3744557
Argentina,2021-06-12,Sputnik V,8281717
Argentina,2021-06-13,Oxford/AstraZeneca,4949458
Argentina,2021-06-13,Sinopharm/Beijing,3746383
Argentina,2021-06-13,Sputnik V,8317928
Argentina,2021-06-14,Oxford/AstraZeneca,5076403
Argentina,2021-06-14,Sinopharm/Beijing,3757021
Argentina,2021-06-14,Sputnik V,8418459
Argentina,2021-06-15,Oxford/AstraZeneca,5205770
Argentina,2021-06-15,Pfizer/BioNTech,43
Argentina,2021-06-15,Sinopharm/Beijing,3762807
Argentina,2021-06-15,Sputnik V,8541221
Argentina,2021-06-16,Oxford/AstraZeneca,5391542
Argentina,2021-06-16,Sinopharm/Beijing,3767621
Argentina,2021-06-16,Sputnik V,8637838
Argentina,2021-06-17,Moderna,15
Argentina,2021-06-17,Oxford/AstraZeneca,5620711
Argentina,2021-06-17,Sinopharm/Beijing,3773950
Argentina,2021-06-17,Sputnik V,8716804
Argentina,2021-06-18,Moderna,16
Argentina,2021-06-18,Oxford/AstraZeneca,5945513
Argentina,2021-06-18,Pfizer/BioNTech,46
Argentina,2021-06-18,Sinopharm/Beijing,3779851
Argentina,2021-06-18,Sputnik V,8785493
Argentina,2021-06-19,Oxford/AstraZeneca,6132069
Argentina,2021-06-19,Sinopharm/Beijing,3782422
Argentina,2021-06-19,Sputnik V,8829002
Argentina,2021-06-20,Oxford/AstraZeneca,6210028
Argentina,2021-06-20,Sinopharm/Beijing,3782719
Argentina,2021-06-20,Sputnik V,8849969
Argentina,2021-06-21,Oxford/AstraZeneca,6348358
Argentina,2021-06-21,Pfizer/BioNTech,47
Argentina,2021-06-21,Sinopharm/Beijing,3784018
Argentina,2021-06-21,Sputnik V,8880080
Argentina,2021-06-22,Oxford/AstraZeneca,6575934
